Stock, Predicted Gain, Predicted Price, Price
UPS, -0.51, 160.27, 161.09
URI, -0.281, 259.91, 260.64
UHS, 3.813, 136.93, 131.9
UNM, -5.828, 24.09, 25.58
VLO, -0.925, 58.15, 58.7
VAR, -0.073, 175.52, 175.65
VTR, -0.904, 47.32, 47.76
VRSN, -0.202, 198.88, 199.29
VRSK, 0.962, 197.14, 195.26
VZ, 0.184, 57.35, 57.25
VRTX, -2.384, 231.31, 236.96
VFC, 3.717, 86.84, 83.73
VIAC, -6.912, 41.64, 44.73
VTRS, 4.028, 18.15, 17.45
V, 1.515, 209.56, 206.43
VNT, 2.308, 34.66, 33.88
VNO, -2.933, 36.54, 37.64
VMC, 1.692, 161.87, 159.18
WRB, -0.434, 66.35, 66.64
WAB, 0.573, 81.41, 80.95
WMT, 1.166, 146.7, 145.01
WBA, -0.622, 46.78, 47.07
DIS, 2.563, 176.71, 172.29
WM, 1.903, 116.71, 114.53
WAT, -2.116, 263.3, 268.99
WEC, 0.484, 88.31, 87.88
WFC, 3.65, 33.28, 32.11
WELL, 1.943, 62.55, 61.36
WST, 0.321, 301.22, 300.26
WDC, -1.614, 51.83, 52.68
WU, 2.795, 22.61, 22.0
WRK, -0.39, 46.3, 46.48
WY, -0.676, 33.08, 33.31
WHR, -5.724, 184.5, 195.7
WMB, -0.085, 21.73, 21.75
WLTW, -3.847, 202.1, 210.19
WYNN, 0.523, 109.47, 108.91
XEL, -0.346, 64.94, 65.17
XRX, 8.674, 23.13, 21.28
XLNX, 3.84, 145.51, 140.13
XYL, 2.586, 105.58, 102.92
YUM, -1.143, 107.02, 108.26
ZBRA, 0.356, 406.46, 405.02
ZBH, -2.338, 159.61, 163.43
ZION, 4.302, 49.51, 47.47
ZTS, 0.586, 165.87, 164.91
